codigo,datetime,codigo_concorrente
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-14 20:32:30.939,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-01 10:46:58.986,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-04 00:31:11.72,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-08 20:36:25.875,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-12 23:29:50.46,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-03 01:25:30.501,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-14 21:34:29.932,650509405109544
rW+LcvJKjNBKth/xXdyfRi71TAhT27Wjdfpb7qBPSGxyQ1vIUL1H8qPKYiQhHywe,2017-07-06 19:33:58.118,195655223793145
P81+sl12QQbI8MK0QDYlw2O22q0kop0tJVwvrpoTZvVLOxMMub+BFbIiS08q4p3X,2017-07-22 12:05:08.65,195655223793145
him0sHvqxnmZJTMQv4efsZ75LYf4tvPKcu7YW9597G/Qvgq122kUof0tFY4amMkC,2017-07-08 12:57:09.281,195655223793145
9uZvi4ucrFbAELYR3/ID3Lh/wgbm2fR06LKQpSb85njg1YiBEv6+7LO50kpXxGVQ,2017-07-30 12:59:54,195655223793145
xlcvO/NJbPD+2li1H0J403iltOJIEmBKwK9iSkVTw8ZydlAjxFaJxl2uu4rN7tOf,2017-07-23 16:51:08.115,195655223793145
kooYdPXgMJShDMfZy0fLLnviifHMQuTbHuauRLUcx6lAbEv/GJ5nKTYrIs6ymO1B,2017-07-04 22:05:54,195655223793145
9uZvi4ucrFbAELYR3/ID3Lh/wgbm2fR06LKQpSb85njg1YiBEv6+7LO50kpXxGVQ,2017-07-30 12:49:36.234,195655223793145
P2JVzBr2jaSfutlZTHjCgLYc8FyE62ipHpDOBV2flPFLrYIvaIgSglGP5soT/qgC,2017-07-04 07:38:34.542,195655223793145
M5nQhg1KyEOrqdbH8MuJvpDnlju3Y1DDQyx5sxteZQgjsvTBjSiGCwwz6pOXs40o,2017-07-03 20:19:50.068,195655223793145
So3Mqd5VnGe+9YsyDLgeOUy85aFsg8zgsvnnukuqP3xdoerr4ttpjEXxtfITIh8I,2017-07-23 13:33:06,195655223793145
xlcvO/NJbPD+2li1H0J403iltOJIEmBKwK9iSkVTw8ZydlAjxFaJxl2uu4rN7tOf,2017-07-23 16:51:08.115,195655223793145
b4M+VOBs4m4nEwe9TNP+FfRU+sSjP72TxCHKQfd+adJI4aMqymgu/KRPJYYT7fWt,2017-07-09 15:16:30.627,195655223793145
